Node connection,Dependency percentage,Index,Time (s),,Index,Text,X value
A - C,30%,1,34.21,,1,A - C 30%,0
A - C,30%,1,31.21,,2,A - C 50%,0
A - C,30%,1,31.17,,3,A - C 70%,0
A - C,30%,1,27.19,,4,B - D 30%,0
A - C,30%,1,56.38,,5,B - D 50%,0
A - C,30%,1,33.26,,6,B - D 70%,0
A - C,30%,1,60.51,,,,
A - C,30%,1,27.2,,,,
A - C,30%,1,28.22,,,,
A - C,30%,1,27.21,,,,
A - C,30%,1,31.23,,,,
A - C,30%,1,27.17,,,,
A - C,30%,1,27.17,,,,
A - C,30%,1,29.22,,,,
A - C,30%,1,53.4,,,,
A - C,30%,1,27.28,,,,
A - C,30%,1,28.18,,,,
A - C,30%,1,29.2,,,,
A - C,30%,1,57.33,,,,
A - C,30%,1,55.39,,,,
A - C,30%,1,28.21,,,,
A - C,30%,1,56.36,,,,
A - C,30%,1,32.22,,,,
A - C,30%,1,30.23,,,,
A - C,30%,1,53.38,,,,
A - C,30%,1,53.33,,,,
A - C,30%,1,27.26,,,,
A - C,30%,1,54.36,,,,
A - C,30%,1,31.22,,,,
A - C,30%,1,54.36,,,,
A - C,30%,1,30.25,,,,
A - C,30%,1,29.2,,,,
A - C,30%,1,59.4,,,,
A - C,30%,1,33.22,,,,
A - C,30%,1,27.24,,,,
A - C,30%,1,28.16,,,,
A - C,30%,1,82.66,,,,
A - C,30%,1,28.19,,,,
A - C,30%,1,29.17,,,,
A - C,30%,1,30.21,,,,
A - C,30%,1,110.88,,,,
A - C,30%,1,27.21,,,,
A - C,30%,1,28.24,,,,
A - C,30%,1,108.84,,,,
A - C,30%,1,33.2,,,,
A - C,30%,1,82.49,,,,
A - C,30%,1,31.22,,,,
A - C,30%,1,32.26,,,,
A - C,30%,1,33.28,,,,
A - C,50%,2,27.22,,,,
A - C,50%,2,28.27,,,,
A - C,50%,2,55.3,,,,
A - C,50%,2,27.16,,,,
A - C,50%,2,27.2,,,,
A - C,50%,2,31.26,,,,
A - C,50%,2,27.18,,,,
A - C,50%,2,28.22,,,,
A - C,50%,2,29.18,,,,
A - C,50%,2,31.07,,,,
A - C,50%,2,32.07,,,,
A - C,50%,2,27.05,,,,
A - C,50%,2,27.05,,,,
A - C,50%,2,28.04,,,,
A - C,50%,2,27.06,,,,
A - C,50%,2,27.06,,,,
A - C,50%,2,31.06,,,,
A - C,50%,2,27.06,,,,
A - C,50%,2,30.06,,,,
A - C,50%,2,27.06,,,,
A - C,50%,2,30.06,,,,
A - C,50%,2,27.06,,,,
A - C,50%,2,35.07,,,,
A - C,50%,2,28.06,,,,
A - C,50%,2,28.05,,,,
A - C,50%,2,33.07,,,,
A - C,50%,2,54.11,,,,
A - C,50%,2,27.06,,,,
A - C,50%,2,29.07,,,,
A - C,50%,2,30.06,,,,
A - C,50%,2,28.06,,,,
A - C,50%,2,31.06,,,,
A - C,50%,2,31.06,,,,
A - C,50%,2,32.06,,,,
A - C,50%,2,29.06,,,,
A - C,50%,2,28.04,,,,
A - C,50%,2,27.05,,,,
A - C,50%,2,27.05,,,,
A - C,50%,2,27.06,,,,
A - C,50%,2,27.07,,,,
A - C,50%,2,31.06,,,,
A - C,50%,2,29.05,,,,
A - C,50%,2,29.05,,,,
A - C,50%,2,81.16,,,,
A - C,50%,2,27.05,,,,
A - C,50%,2,28.05,,,,
A - C,50%,2,30.06,,,,
A - C,50%,2,54.11,,,,
