Dependency percentage,Time
20%,27.08393
20%,26.10967
20%,33.09182
20%,32.06474
20%,11.01375
20%,16.03433
20%,31.0566
20%,32.09081
20%,50.11904
20%,43.09316
20%,29.08136
20%,33.0678
20%,37.09658
20%,40.07909
20%,37.07135
20%,33.06391
20%,28.07127
20%,33.06979
20%,36.10189
20%,29.0858
20%,33.0965
20%,31.07202
20%,37.07192
20%,26.05718
20%,27.05494
20%,35.0925
20%,32.08998
20%,33.0757
20%,34.09899
20%,35.07961
20%,34.07842
20%,44.11475
20%,44.08645
20%,29.06638
20%,43.129
20%,48.1273
20%,29.0698
20%,28.06862
20%,28.09146
20%,15.04261
20%,18.0747
20%,20.05517
20%,43.13693
20%,33.06919
20%,33.07024
20%,38.08771
20%,32.10668
20%,30.05729
20%,46.17788
20%,36.08666
30%,49.13694
30%,31.07336
30%,11.02304
30%,28.0941
30%,17.05819
30%,13.03608
30%,22.04503
30%,13.04243
30%,28.06124
30%,28.07462
30%,24.05209
30%,32.0935
30%,31.07918
30%,30.08038
30%,34.10094
30%,29.06652
30%,28.08466
30%,35.08039
30%,38.08229
30%,27.06028
30%,30.08907
30%,29.05681
30%,26.06617
30%,33.07069
30%,46.08762
30%,11.02365
30%,31.06964
30%,16.03971
30%,32.0852
30%,36.10523
30%,35.07427
30%,33.07792
30%,33.09525
30%,13.02941
30%,16.03148
30%,33.08828
30%,30.0695
30%,35.08781
30%,28.0638
30%,32.06416
30%,43.11273
30%,29.08978
30%,33.07686
30%,29.07054
30%,29.07629
30%,34.07737
30%,27.06936
30%,29.07177
30%,31.07921
30%,32.07846
40%,28.04964
40%,35.10943
40%,16.03183
40%,35.09138
40%,16.03403
40%,29.05102
40%,29.07063
40%,30.09166
40%,29.07031
40%,27.05361
40%,40.13344
40%,21.05143
40%,34.09219
40%,32.05874
40%,9.02507
40%,23.05437
40%,9.015979
40%,12.02137
40%,28.07656
40%,31.07919
40%,33.08038
40%,14.02772
40%,28.08212
40%,32.07069
40%,22.05282
40%,11.03535
40%,29.07315
40%,10.02719
40%,23.05758
40%,18.04375
40%,31.04918
40%,31.06422
40%,29.06635
40%,30.0849
40%,31.08455
40%,37.08682
40%,34.09818
40%,27.052
40%,20.05838
40%,43.08469
40%,31.09297
40%,8.025916
40%,26.06336
40%,30.07387
40%,42.07398
40%,28.05558
40%,30.05105
40%,21.0444
40%,28.07658
40%,19.04987
50%,16.02694
50%,29.07175
50%,30.06903
50%,26.06398
50%,29.05305
50%,16.03857
50%,6.0233
50%,11.02298
50%,22.04717
50%,22.07537
50%,16.04079
50%,14.03782
50%,19.04776
50%,29.07493
50%,13.02602
50%,16.03417
50%,21.04619
50%,15.04278
50%,10.05499
50%,9.024844
50%,15.02273
50%,13.04225
50%,12.03957
50%,16.0552
50%,15.03173
50%,22.04627
50%,14.03863
50%,18.03168
50%,30.05596
50%,21.04987
50%,15.03362
50%,14.02596
50%,22.04472
50%,12.0342
50%,21.04229
50%,13.03543
50%,18.03182
50%,28.09101
50%,28.07366
50%,38.0868
50%,31.08272
50%,8.012904
50%,12.0437
50%,27.07123
50%,11.03445
50%,31.05314
50%,24.04362
50%,32.0629
50%,9.023482
50%,27.07695
60%,25.06111
60%,8.014837
60%,28.05404
60%,16.05378
60%,12.02227
60%,22.04517
60%,14.0253
60%,27.062
60%,14.03023
60%,8.017168
60%,17.03545
60%,13.03954
60%,26.05443
60%,22.04336
60%,22.06063
60%,23.04824
60%,11.02183
60%,7.016847
60%,16.03424
60%,8.015887
60%,17.02334
60%,7.012063
60%,28.06609
60%,13.03763
60%,28.05061
60%,30.05947
60%,27.08928
60%,11.01901
60%,11.02099
60%,21.04648
60%,13.03773
60%,9.031969
60%,32.08012
60%,15.03042
60%,12.02369
60%,6.010704
60%,16.03519
60%,7.015217
60%,7.020963
60%,7.0159
60%,19.03311
60%,25.06594
60%,18.04921
60%,27.07876
60%,7.011702
60%,12.02482
60%,25.05927
60%,22.07002
60%,8.021835
60%,10.02324
70%,16.0505
70%,15.04671
70%,14.02648
70%,29.07483
70%,26.05337
70%,13.02075
70%,11.02526
70%,10.02723
70%,28.05705
70%,8.019548
70%,13.03038
70%,13.03388
70%,9.015078
70%,10.01476
70%,12.03659
70%,30.09393
70%,16.03162
70%,29.0602
70%,13.0298
70%,18.05784
70%,16.03732
70%,13.02524
70%,20.05714
70%,6.013867
70%,16.04634
70%,20.03658
70%,29.07428
70%,24.06095
70%,6.023593
70%,7.01208
70%,23.04304
70%,11.02484
70%,7.014023
70%,29.05838
70%,11.04053
70%,18.03516
70%,22.05202
70%,10.01526
70%,20.0499
70%,11.02866
70%,15.03772
70%,28.07661
70%,8.018423
70%,15.0516
70%,16.02599
70%,9.012698
70%,10.01438
70%,9.014347
70%,13.03365
70%,14.03392
80%,6.027725
80%,15.04508
80%,8.01965
80%,6.01562
80%,26.0547
80%,8.011522
80%,6.012496
80%,8.017734
80%,15.03436
80%,15.03573
80%,13.01883
80%,15.03957
80%,12.02739
80%,8.015264
80%,9.022977
80%,27.06424
80%,14.05025
80%,12.0247
80%,18.04814
80%,16.04789
80%,10.0218
80%,6.012756
80%,15.02734
80%,12.0299
80%,17.03337
80%,8.013621
80%,18.04916
80%,14.04397
80%,7.012576
80%,10.01698
80%,14.03678
80%,19.04427
80%,14.03899
80%,28.05318
80%,18.03699
80%,15.03078
80%,22.0411
80%,30.07199
80%,12.02388
80%,16.03793
80%,14.0309
80%,19.03244
80%,8.014668
80%,7.013732
80%,8.019422
80%,12.02237
80%,6.010955
80%,9.017106
80%,12.01742
80%,8.041039
